target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,neutral,2,j,l,,,,,,,,,7,4,130,12,,,,,,,,,main,1,1,2,neutral,negative,l,l,1,0.6153687001205981,358.8504599998705,359.84998230007477,359.84998230007477,None,358.8504599998705,None,358.8504599998705,None,358.8504599998705,None,360.4638229399221,None,360.4638229399221,None,360.4638229399221,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,positive,2,k,k,,,,,,,,,7,5,131,13,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.6981563000008464,360.469785900088,361.4804914998822,361.46382479998283,None,360.469785900088,None,360.469785900088,None,360.469785900088,None,362.1637706400594,None,362.1637706400594,None,362.1637706400594,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,positive,1,l,j,,,,,,,,,7,6,132,2,,,,,,,,,main,2,2,1,positive,positive,j,j,1,0.6482683999929577,362.16759940003976,363.18046539998613,363.1638724000659,None,362.16759940003976,None,362.16759940003976,None,362.16759940003976,None,363.81357683988756,None,363.81357683988756,None,363.81357683988756,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,neutral,2,l,j,,,,,,,,,7,7,133,17,,,,,,,,,main,2,2,2,neutral,positive,j,j,1,0.5985111000481993,363.8211356000975,364.83042289991863,364.8137666999828,None,363.8211356000975,None,363.8211356000975,None,363.8211356000975,None,365.41380663986786,None,365.41380663986786,None,365.41380663986786,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,neutral,2,k,k,,,,,,,,,7,8,134,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.5985179000999779,365.4174740999006,366.43037840002216,366.41372519987635,None,365.4174740999006,None,365.4174740999006,None,365.4174740999006,None,367.01370874003044,None,367.01370874003044,None,367.01370874003044,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,negative,2,k,k,,,,,,,,,7,9,135,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.4980367000680417,367.0201727000531,368.03044110001065,368.01367980008945,None,367.0201727000531,None,367.0201727000531,None,367.0201727000531,None,368.5136722398689,None,368.5136722398689,None,368.5136722398689,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,positive,2,l,j,,,,,,,,,7,10,136,11,,,,,,,,,main,1,1,2,positive,positive,j,j,1,0.6307077999226749,368.51823389995843,369.53033740003593,369.5136617999524,None,368.51823389995843,None,368.51823389995843,None,368.51823389995843,None,370.14694313986695,None,370.14694313986695,None,370.14694313986695,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,negative,1,k,k,,,,,,,,,7,11,137,7,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.5651833000592887,370.1525038999971,371.1663510000799,371.14983220002614,None,370.1525038999971,None,370.1525038999971,None,370.1525038999971,None,371.7136025398737,None,371.7136025398737,None,371.7136025398737,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,positive,2,j,l,,,,,,,,,7,12,138,15,,,,,,,,,main,1,1,2,positive,negative,l,l,1,0.5142145999707282,371.71806159988046,372.7302530000452,372.7135999999009,None,371.71806159988046,None,371.71806159988046,None,371.71806159988046,None,373.23024993997535,None,373.23024993997535,None,373.23024993997535,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,neutral,1,j,l,,,,,,,,,7,13,139,3,,,,,,,,,main,2,2,1,neutral,negative,l,l,1,0.5150003999006003,373.233874599915,374.2468872999307,374.23023710004054,None,373.233874599915,None,373.233874599915,None,373.233874599915,None,374.74688224007843,None,374.74688224007843,None,374.74688224007843,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,negative,1,l,j,,,,,,,,,7,14,140,5,,,,,,,,,main,2,2,1,negative,positive,j,j,1,0.631751999957487,374.75059260008857,375.763546400005,375.7468735000584,None,374.75059260008857,None,374.75059260008857,None,374.75059260008857,None,376.3801858399762,None,376.3801858399762,None,376.3801858399762,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,positive,1,j,l,,,,,,,,,7,15,141,6,,,,,,,,,main,2,2,1,positive,negative,l,l,1,0.6485766000114381,376.3847453999333,377.39954290003516,377.38016739999875,None,376.3847453999333,None,376.3847453999333,None,376.3847453999333,None,378.0302730400814,None,378.0302730400814,None,378.0302730400814,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,negative,2,l,j,,,,,,,,,7,16,142,14,,,,,,,,,main,1,1,2,negative,positive,j,j,1,0.7312926000449806,378.03601839998737,379.0496052999515,379.0301351000089,None,378.03601839998737,None,378.03601839998737,None,378.03601839998737,None,379.7634392399574,None,379.7634392399574,None,379.7634392399574,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,positive,1,k,k,,,,,,,,,7,17,143,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.48190819984301925,379.7691846000962,380.7800819000695,380.76340529997833,None,379.7691846000962,None,379.7691846000962,None,379.7691846000962,None,381.2467498400016,None,381.2467498400016,None,381.2467498400016,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,positive,2,l,j,,,,,,,,,8,0,144,11,,,,,,,,,main,1,1,2,positive,positive,j,j,1,0.5482810998801142,381.25253210007213,382.2634087000042,382.249543099897,None,381.25253210007213,None,381.25253210007213,None,381.25253210007213,None,382.7967168400297,None,382.7967168400297,None,382.7967168400297,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
