target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,neutral,2,j,l,,,,,1,2,20,12,,,,,,,,,,,,,prac,1,1,2,neutral,negative,j,j,1,0.7154596000909805,166.5707302999217,167.58148339996114,167.5648139999248,None,166.5707302999217,None,166.5707302999217,None,166.5707302999217,None,168.28146856997628,None,168.28146856997628,None,168.28146856997628,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
positive,neutral,2,l,j,,,,,1,3,21,17,,,,,,,,,,,,,prac,1,1,2,neutral,positive,l,l,1,0.8492254999000579,168.28680719994009,169.29808069998398,169.26475699990988,None,168.28680719994009,None,168.28680719994009,None,168.28680719994009,None,170.13165656987113,None,170.13165656987113,None,170.13165656987113,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
neutral,positive,2,k,k,,,,,1,4,22,13,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,0.7984811998903751,170.13715059985407,171.1482092998922,171.13140999991447,None,170.13715059985407,None,170.13715059985407,None,170.13715059985407,None,171.93136816981715,None,171.93136816981715,None,171.93136816981715,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
neutral,negative,1,k,k,,,,,1,5,23,7,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,0.849307200172916,171.9371118999552,172.94804139994085,172.9315426000394,None,171.9371118999552,None,171.9371118999552,None,171.9371118999552,None,173.78134676998016,None,173.78134676998016,None,173.78134676998016,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
positive,negative,1,l,j,,,,,1,6,24,5,,,,,,,,,,,,,prac,2,2,1,negative,positive,l,l,1,0.7645316999405622,173.78729159990326,174.79800329986028,174.78133909986354,None,173.78729159990326,None,173.78729159990326,None,173.78729159990326,None,175.54796496985946,None,175.54796496985946,None,175.54796496985946,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
positive,neutral,1,l,j,,,,,1,7,25,8,,,,,,,,,,,,,prac,2,2,1,neutral,positive,l,l,1,0.931802700040862,175.5534063000232,176.5646279999055,176.55075009982102,None,175.5534063000232,None,175.5534063000232,None,175.5534063000232,None,177.48125996997115,None,177.48125996997115,None,177.48125996997115,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
neutral,negative,2,k,k,,,,,1,8,26,16,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,0.8480676000472158,177.4872726998292,178.5006146999076,178.48125969991088,None,177.4872726998292,None,177.4872726998292,None,177.4872726998292,None,179.33117676989642,None,179.33117676989642,None,179.33117676989642,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
negative,negative,1,j,l,,,,,1,9,27,0,,,,,,,,,,,,,prac,1,1,1,negative,negative,j,j,1,0.8649474999401718,179.33655099989846,180.34796239994466,180.31451539997943,None,179.33655099989846,None,179.33655099989846,None,179.33655099989846,None,181.19784976982046,None,181.19784976982046,None,181.19784976982046,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
neutral,neutral,1,k,k,,,,,1,10,28,1,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,k,k,1,0.831520700128749,181.20355279999785,182.21449279994704,182.2006879998371,None,181.20355279999785,None,181.20355279999785,None,181.20355279999785,None,183.03115316990298,None,183.03115316990298,None,183.03115316990298,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
negative,neutral,1,j,l,,,,,1,11,29,3,,,,,,,,,,,,,prac,2,2,1,neutral,negative,j,j,1,0.8154524001292884,183.03630489995703,184.0478200998623,184.01458529988304,None,183.03630489995703,None,183.03630489995703,None,183.03630489995703,None,184.84779737002683,None,184.84779737002683,None,184.84779737002683,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
