target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
neutral,neutral,1,k,k,,,,,,,,,11,13,211,1,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.7128594000241719,517.1232861999888,518.1359041999967,518.1193571999902,None,517.1232861999888,None,517.1232861999888,None,517.1232861999888,None,518.8337122699857,None,518.8337122699857,None,518.8337122699857,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,neutral,2,k,k,,,,,,,,,11,14,212,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.5649631999840494,518.8396605000016,519.8500203999865,519.8333436999819,None,518.8396605000016,None,518.8396605000016,None,518.8396605000016,None,520.399997169993,None,520.399997169993,None,520.399997169993,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,negative,2,k,k,,,,,,,,,11,15,213,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,1.0979468000005,520.4005873999849,521.4000220999878,521.4000220999878,None,520.4005873999849,None,520.4005873999849,None,520.4005873999849,None,522.4999810699926,None,522.4999810699926,None,522.4999810699926,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,neutral,2,l,j,,,,,,,,,11,16,214,17,,,,,,,,,main,2,2,2,neutral,positive,l,l,1,0.7174884999985807,522.5005526999885,523.5025236999791,523.5025236999791,None,522.5005526999885,None,522.5005526999885,None,522.5005526999885,None,524.2190460699755,None,524.2190460699755,None,524.2190460699755,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,positive,1,k,k,,,,,,,,,11,17,215,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.7971142000169493,524.2221489999793,525.235777599999,525.2191684999852,None,524.2221489999793,None,524.2221489999793,None,524.2221489999793,None,526.0166995699954,None,526.0166995699954,None,526.0166995699954,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,neutral,1,j,l,,,,,,,,,12,0,216,3,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,0.8641317999863531,526.0213087000011,527.035768599977,527.0190727000008,None,526.0213087000011,None,526.0213087000011,None,526.0213087000011,None,527.8835715699795,None,527.8835715699795,None,527.8835715699795,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,negative,1,j,l,,,,,,,,,12,1,217,0,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.6341564000176731,527.8873371999944,528.9024296999851,528.8857841999852,None,527.8873371999944,None,527.8873371999944,None,527.8873371999944,None,529.5191272700001,None,529.5191272700001,None,529.5191272700001,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,positive,1,j,l,,,,,,,,,12,2,218,6,,,,,,,,,main,2,2,1,positive,negative,j,j,1,0.6121618000033777,529.5229606999783,530.5327183999761,530.5156318999943,None,529.5229606999783,None,529.5229606999783,None,529.5229606999783,None,531.1330726699932,None,531.1330726699932,None,531.1330726699932,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,positive,2,l,j,,,,,,,,,12,3,219,11,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.7485752000065986,531.1330990999995,532.1331138999958,532.1331138999958,None,531.1330990999995,None,531.1330990999995,None,531.1330990999995,None,532.8831153699982,None,532.8831153699982,None,532.8831153699982,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,negative,2,k,k,,,,,,,,,12,4,220,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.665279599983478,532.8923186999746,533.9022503999877,533.8856522999995,None,532.8923186999746,None,532.8923186999746,None,532.8923186999746,None,534.5500146699749,None,534.5500146699749,None,534.5500146699749,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
