target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,neutral,2,l,j,,,,,,,,,0,10,10,17,,,,,,,,,main,1,1,2,neutral,positive,j,j,1,0.6995054999715649,139.85306729999138,140.86628720001318,140.8497468000278,None,139.85306729999138,None,139.85306729999138,None,139.85306729999138,None,141.54965032002656,None,141.54965032002656,None,141.54965032002656,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,neutral,1,k,k,,,,,,,,,0,11,11,1,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.49622790003195405,141.55443080002442,142.5640826000017,142.5496479999856,None,141.55443080002442,None,141.55443080002442,None,141.55443080002442,None,143.04853061999893,None,143.04853061999893,None,143.04853061999893,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,neutral,1,l,j,,,,,,,,,0,12,12,8,,,,,,,,,main,1,1,1,neutral,positive,j,j,1,0.5490161000052467,143.0540935000172,144.06621720001567,144.04743879998568,None,143.0540935000172,None,143.0540935000172,None,143.0540935000172,None,144.59953492000932,None,144.59953492000932,None,144.59953492000932,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,positive,2,l,j,,,,,,,,,0,13,13,11,,,,,,,,,main,1,1,2,positive,positive,j,j,1,0.5290946000022814,144.60288110002875,145.6136603000341,145.5969899999909,None,144.60288110002875,None,144.60288110002875,None,144.60288110002875,None,146.13027652003802,None,146.13027652003802,None,146.13027652003802,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,negative,1,k,k,,,,,,,,,0,14,14,7,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.4847073000273667,146.13028470001882,147.1303401000332,147.1303401000332,None,146.13028470001882,None,146.13028470001882,None,146.13028470001882,None,147.61641572002554,None,147.61641572002554,None,147.61641572002554,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,positive,2,k,k,,,,,,,,,0,15,15,13,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.5490819999831729,147.6195946999942,148.6327623000252,148.61628760001622,None,147.6195946999942,None,147.6195946999942,None,147.6195946999942,None,149.1662061199895,None,149.1662061199895,None,149.1662061199895,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,positive,2,j,l,,,,,,,,,0,16,16,15,,,,,,,,,main,2,2,2,positive,negative,l,l,1,0.5472450999659486,149.1709014000371,150.1827285999898,150.16617899999255,None,149.1709014000371,None,149.1709014000371,None,149.1709014000371,None,150.71608232002473,None,150.71608232002473,None,150.71608232002473,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,negative,2,j,l,,,,,,,,,0,17,17,9,,,,,,,,,main,2,2,2,negative,negative,l,l,1,0.5318348999717273,150.7192320000031,151.73269849998178,151.71611420001136,None,150.7192320000031,None,150.7192320000031,None,150.7192320000031,None,152.24936791998334,None,152.24936791998334,None,152.24936791998334,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,negative,1,l,j,,,,,,,,,1,0,18,5,,,,,,,,,main,1,1,1,negative,positive,j,j,1,0.5992011000053026,152.25284790003207,153.26604429999134,153.24937059998047,None,152.25284790003207,None,152.25284790003207,None,152.25284790003207,None,153.8493316200329,None,153.8493316200329,None,153.8493316200329,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,positive,1,l,j,,,,,,,,,1,1,19,2,,,,,,,,,main,2,2,1,positive,positive,j,j,1,0.49492900003679097,153.85367979999864,154.86398199998075,154.84940900001675,None,153.85367979999864,None,153.85367979999864,None,153.85367979999864,None,155.34675771999173,None,155.34675771999173,None,155.34675771999173,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,neutral,1,k,k,,,,,,,,,1,2,20,1,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.5318290999857709,155.3467655000277,156.34680030000163,156.34680030000163,None,155.3467655000277,None,155.3467655000277,None,155.3467655000277,None,156.8801208200166,None,156.8801208200166,None,156.8801208200166,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,negative,1,j,l,,,,,,,,,1,3,21,0,,,,,,,,,main,1,1,1,negative,negative,l,l,1,0.6987431000452489,156.88010549999308,157.88011120003648,157.88011120003648,None,156.88010549999308,None,156.88010549999308,None,156.88010549999308,None,158.58012772002257,None,158.58012772002257,None,158.58012772002257,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,neutral,2,j,l,,,,,,,,,1,4,22,12,,,,,,,,,main,2,2,2,neutral,negative,l,l,1,0.5650211000465788,158.58096769999247,159.58011219999753,159.58011219999753,None,158.58096769999247,None,158.58096769999247,None,158.58096769999247,None,160.14676502003567,None,160.14676502003567,None,160.14676502003567,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,positive,1,k,k,,,,,,,,,1,5,23,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.5321112999808975,160.15054140001303,161.1659385000239,161.14929720002692,None,160.15054140001303,None,160.15054140001303,None,160.15054140001303,None,161.68063572002575,None,161.68063572002575,None,161.68063572002575,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,negative,2,k,k,,,,,,,,,1,6,24,16,,,,,,,,,main,1,1,2,negative,neutral,k,k,1,0.5181470999959856,161.68729750002967,162.6991242999793,162.68251780001447,None,161.68729750002967,None,161.68729750002967,None,161.68729750002967,None,163.1991614199942,None,163.1991614199942,None,163.1991614199942,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,neutral,2,l,j,,,,,,,,,1,7,25,17,,,,,,,,,main,2,2,2,neutral,positive,j,j,1,0.5138826000038534,163.2037216000026,164.21583689999534,164.19917600002373,None,163.2037216000026,None,163.2037216000026,None,163.2037216000026,None,164.71581141999923,None,164.71581141999923,None,164.71581141999923,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,negative,2,j,l,,,,,,,,,1,8,26,9,,,,,,,,,main,2,2,2,negative,negative,l,l,1,0.6330528000253253,164.71885370003292,165.73241759999655,165.71362729999237,None,164.71885370003292,None,164.71885370003292,None,164.71885370003292,None,166.34907002002,None,166.34907002002,None,166.34907002002,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,positive,2,k,k,,,,,,,,,1,9,27,13,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.54932709998684,166.35454480000772,167.36363330000313,167.3491972000338,None,166.35454480000772,None,166.35454480000772,None,166.35454480000772,None,167.89906152000185,None,167.89906152000185,None,167.89906152000185,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,positive,2,l,j,,,,,,,,,1,10,28,11,,,,,,,,,main,2,2,2,positive,positive,j,j,1,0.5770560000091791,167.90499399998225,168.91317730001174,168.89650400000392,None,167.90499399998225,None,167.90499399998225,None,167.90499399998225,None,169.48012751998613,None,169.48012751998613,None,169.48012751998613,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,negative,2,l,j,,,,,,,,,1,11,29,14,,,,,,,,,main,1,1,2,negative,positive,j,j,1,0.4982212000177242,169.4809352000011,170.49658670002827,170.4798962000059,None,169.4809352000011,None,169.4809352000011,None,169.4809352000011,None,170.97989091998897,None,170.97989091998897,None,170.97989091998897,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,neutral,1,j,l,,,,,,,,,1,12,30,3,,,,,,,,,main,2,2,1,neutral,negative,l,l,1,0.5514206999796443,170.98010530002648,171.97984749998432,171.97984749998432,None,170.98010530002648,None,170.98010530002648,None,170.98010530002648,None,172.52984322002158,None,172.52984322002158,None,172.52984322002158,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,positive,1,j,l,,,,,,,,,1,13,31,6,,,,,,,,,main,2,2,1,positive,negative,l,l,1,0.5125083000166342,172.5361733000027,173.54897110001184,173.53240500000538,None,172.5361733000027,None,172.5361733000027,None,172.5361733000027,None,174.04649132001214,None,174.04649132001214,None,174.04649132001214,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,negative,1,k,k,,,,,,,,,1,14,32,7,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.5980885000317357,174.05049960000906,175.06558180000866,175.04895640001632,None,174.05049960000906,None,174.05049960000906,None,174.05049960000906,None,175.64646472001914,None,175.64646472001914,None,175.64646472001914,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,neutral,2,k,k,,,,,,,,,1,15,33,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.4843375000054948,175.6530686999904,176.6655401000171,176.64897999999812,None,175.6530686999904,None,175.6530686999904,None,175.6530686999904,None,177.1322584199952,None,177.1322584199952,None,177.1322584199952,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,positive,2,j,l,,,,,,,,,1,16,34,15,,,,,,,,,main,2,2,2,positive,negative,l,l,1,0.5961089000338688,177.13582040002802,178.148866500007,178.13005460001295,None,177.13582040002802,None,177.13582040002802,None,177.13582040002802,None,178.73007112002233,None,178.73007112002233,None,178.73007112002233,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
