distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,blue,1,k,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,main,k,k,1,0.8507695000007516,206.309909100004,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,yellow,2,k,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,main,k,k,1,0.8147403999973903,208.15328360000422,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,yellow,2,None,k,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,main,None,None,1,1.4984167000002344,209.97925810000015,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,blue,2,None,k,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,main,None,None,1,1.5018421999993734,212.476453700001,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,red,2,None,None,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,main,None,None,1,1.4964871999982279,214.9790334000063,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,yellow,1,None,k,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,main,None,None,1,1.5017940999969142,217.47634470000048,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,red,1,None,None,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,main,None,None,1,1.4993243999997503,219.97893040000054,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,yellow,1,None,k,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,main,None,None,1,1.4965153000011924,222.47890710000502,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,yellow,1,k,None,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,main,k,k,1,1.0351960999978473,224.9762320000009,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,yellow,1,k,None,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,main,k,k,1,0.8340042999989237,227.0121436000045,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
