distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,red,1,None,None,,,,,,,,,0,205,205,205,,,,,,,,,,,,,,,,,main,None,None,1,1.4988435999839567,659.0745319999987,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,2,None,k,,,,,,,,,0,206,206,206,,,,,,,,,,,,,,,,,main,k,k,1,0.9132539000129327,661.5767731000087,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,2,k,None,,,,,,,,,0,207,207,207,,,,,,,,,,,,,,,,,main,None,None,1,1.5015896999975666,663.4908002000302,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,2,None,k,,,,,,,,,0,208,208,208,,,,,,,,,,,,,,,,,main,k,k,1,0.6472916000057012,665.993422700034,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,1,k,None,,,,,,,,,0,209,209,209,,,,,,,,,,,,,,,,,main,None,None,1,1.5012290999875404,667.6435936000198,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,red,2,None,None,,,,,,,,,0,210,210,210,,,,,,,,,,,,,,,,,main,None,None,1,1.4963955000275746,670.1432459000498,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,1,None,k,,,,,,,,,0,211,211,211,,,,,,,,,,,,,,,,,main,k,k,1,3.6518783000065014,672.6406145000365,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,1,k,None,,,,,,,,,0,212,212,212,,,,,,,,,,,,,,,,,main,None,None,1,1.4984387999866158,678.292978500016,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,1,k,None,,,,,,,,,0,213,213,213,,,,,,,,,,,,,,,,,main,None,k,0,0.768551999994088,680.790450200031,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,1,k,None,,,,,,,,,0,214,214,214,,,,,,,,,,,,,,,,,main,None,k,0,0.6182217000168748,683.5596560999984,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,1,None,k,,,,,,,,,0,215,215,215,,,,,,,,,,,,,,,,,main,k,k,1,1.4539828000124544,686.1903242000262,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,1,None,k,,,,,,,,,0,216,216,216,,,,,,,,,,,,,,,,,main,k,k,1,0.6467646000091918,688.6428634000476,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,2,None,k,,,,,,,,,0,217,217,217,,,,,,,,,,,,,,,,,main,k,k,1,0.7377245000097901,690.2930342000327,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,1,None,k,,,,,,,,,0,218,218,218,,,,,,,,,,,,,,,,,main,k,k,1,0.527149100031238,692.0276126000099,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,red,2,None,None,,,,,,,,,0,219,219,219,,,,,,,,,,,,,,,,,main,None,None,1,1.5009770999895409,693.5571184,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,1,None,k,,,,,,,,,0,220,220,220,,,,,,,,,,,,,,,,,main,k,k,1,0.5993682999978773,696.0592669000034,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
