distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,yellow,2,None,k,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,main,k,k,1,1.0165293000172824,250.4752368000336,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,main,None,None,1,1.4935819000238553,252.49839710001834,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,main,k,k,1,0.700888599967584,254.98948979994748,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,main,None,None,1,1.4963102999608964,256.6920168000506,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,main,k,k,1,0.8822813000297174,259.18971269996837,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,main,k,k,1,0.9324306999333203,261.0723068000516,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,main,k,k,1,0.7831495000282302,263.00565359997563,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,main,k,k,1,0.7677776999771595,264.79205139994156,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,1,None,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,main,None,None,1,1.4971456000348553,266.55827929999214,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,2,None,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,main,None,None,1,1.5014038000954315,269.0557854999788,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,2,None,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,main,None,None,1,1.4978013000218198,271.55822959996294,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,main,None,None,1,1.4974984000436962,274.05815139994957,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,main,None,None,1,1.5004799999296665,276.5555275999941,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,main,None,None,1,1.4967159000225365,279.05798509996384,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,main,k,k,1,0.704075500019826,281.55792429996654,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,1,None,None,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,main,None,None,1,1.4947706999955699,283.26400269998703,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,main,None,None,1,1.5005629999795929,285.75792929995805,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,main,k,k,1,0.7966846999479458,288.2579114999389,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,main,None,None,1,1.4991092999698594,290.0552890000399,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,main,k,k,1,0.9173658000072464,292.5549692000495,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,main,None,None,1,1.4984497999539599,294.47441290004645,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,main,None,None,1,1.4972816000226885,296.9743043000344,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,main,k,k,1,0.815421300008893,299.47178849997,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,main,k,k,1,1.1319273000117391,301.2883424999891,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,main,None,None,1,1.5038779000751674,303.42401219997555,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,main,k,k,1,0.8941830999683589,305.9249663000228,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,main,None,None,1,1.501020900090225,307.82130720000714,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,main,None,None,1,1.4968092000344768,310.32397539995145,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,main,None,None,1,1.4997932000551373,312.8214397999691,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,main,k,k,1,0.7839402999961749,315.3219876999501,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,1,None,None,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,main,None,None,1,1.4989096999634057,317.1071659999434,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,main,None,None,1,1.4972590999677777,319.6071680999594,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,main,None,None,1,1.500514499959536,322.1043124999851,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,1,None,None,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,main,None,None,1,1.4966835000086576,324.607000399963,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,main,k,k,1,0.8499024999327958,327.11002789996564,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
