distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,red,1,None,None,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,main,None,None,1,1.5020430000149645,238.5152822000091,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,yellow,1,None,k,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,main,k,k,1,0.8126112999743782,241.01755910000065,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,yellow,1,k,None,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,main,None,None,1,1.4985936000011861,242.83179829997243,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,yellow,1,k,None,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,main,None,None,1,1.5000104999635369,245.33184230001643,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,red,2,None,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,main,None,None,1,1.4980064000119455,247.8317000999814,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,yellow,2,None,k,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,main,k,k,1,0.8493384000030346,250.33171180001227,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,blue,1,k,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,main,None,None,1,1.4985124000231735,252.18167800002266,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,1,None,k,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,main,k,k,1,0.683003899990581,254.68135410000104,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,blue,2,k,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,main,None,None,1,1.5011618999997154,256.3650281999726,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,2,None,k,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,main,k,k,1,1.2964552999474108,258.8673687999835,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,1,None,k,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,main,k,k,1,0.9000240999739617,261.1645516999997,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,1,None,k,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,main,k,k,1,1.098264200030826,263.06454019999364,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,2,None,k,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,main,k,k,1,0.8655799000407569,265.1648414999945,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,red,1,None,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,main,None,None,1,1.499749000009615,267.03138719999697,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,red,2,None,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,main,None,None,1,1.498819199972786,269.53133139997954,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,red,2,None,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,main,None,None,1,1.4984655000152998,272.03128950000973,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,blue,2,k,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,main,None,None,1,1.5007732000085525,274.5309387000161,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,yellow,1,k,None,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,main,None,None,1,1.4990195999853313,277.03125250001904,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
