distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,yellow,1,None,k,,,,,,,,,0,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4987218000023859,422.4102817999956,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,1,k,None,,,,,,,,,0,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8529875999956857,424.9108095999982,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,red,1,None,None,,,,,,,,,0,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4944745999964653,426.76475459999347,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,blue,1,k,None,,,,,,,,,0,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.1701028000097722,429.26080390000425,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,1,k,None,,,,,,,,,0,101,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.7977501999994274,431.4318840000051,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,2,None,k,,,,,,,,,0,102,102,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4945133000001078,433.23179730000265,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,2,k,None,,,,,,,,,0,103,103,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.053936900003464,435.7273451999936,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,2,None,k,,,,,,,,,0,104,104,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4932477999973344,437.7817053000035,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,blue,1,k,None,,,,,,,,,0,105,105,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8873601999948733,440.2772219000035,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,blue,2,k,None,,,,,,,,,0,106,106,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.7454445000039414,442.1654828000028,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,1,None,k,,,,,,,,,0,107,107,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4962309000111418,443.9126563000027,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,2,None,k,,,,,,,,,0,108,108,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4988714999926742,446.41039059999457,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,1,k,None,,,,,,,,,0,109,109,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.7368792000052053,448.91065479999816,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,2,None,k,,,,,,,,,0,110,110,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.494258799997624,450.6489319999964,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,blue,2,k,None,,,,,,,,,0,111,111,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.6532234999904176,453.14435859999503,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,1,None,k,,,,,,,,,0,112,112,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4941708999976981,454.7992385999969,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,1,None,k,,,,,,,,,0,113,113,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4985993999871425,457.2943309999973,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,red,1,None,None,,,,,,,,,0,114,114,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4989709000074072,459.79464619999635,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,red,1,None,None,,,,,,,,,0,115,115,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4983972999907564,462.2945736999973,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,red,2,None,None,,,,,,,,,0,116,116,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4988051000109408,464.79437039999175,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,2,k,None,,,,,,,,,0,117,117,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.247505599996657,467.29501240000536,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,1,None,k,,,,,,,,,0,118,118,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4986039000068558,469.54469589999644,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,red,2,None,None,,,,,,,,,0,119,119,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4974751999980072,472.045964799996,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
