distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,blue,1,None,k,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,main,None,None,1,1.497366299998248,269.5331539000035,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,2,None,k,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,main,None,None,1,1.5005277000018395,272.03032389999134,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,red,1,None,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,main,None,None,1,1.4991229999868665,274.53301439998904,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,red,2,None,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,main,None,None,1,1.4974598000117112,277.03297169998405,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,red,2,None,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,main,None,None,1,1.5005406999844126,279.5302509999892,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,2,k,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,main,k,k,1,1.0302966000162996,282.03287850000197,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,1,k,None,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,main,k,k,1,0.9491872999933548,284.0634385999874,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,2,k,None,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,main,k,k,1,0.7844194000062998,286.01357290000306,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,2,None,k,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,main,None,None,1,1.5004619999963325,287.79945930000395,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,red,1,None,None,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,main,None,None,1,1.4950355000037234,290.2967232000083,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,1,k,None,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,main,k,k,1,2.317261799995322,292.7967064999975,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,1,None,k,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,main,None,None,1,1.5005899000097997,297.11621169999125,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,2,k,None,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,main,k,k,1,0.912943000002997,299.61382569998386,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,1,None,k,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,main,None,None,1,1.5016248000029009,301.52974689999246,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,1,k,None,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,main,k,k,1,0.5660685999901034,304.03243200000725,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,1,k,None,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,main,k,k,1,0.9466316000034567,305.5990982000076,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,2,None,k,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,main,None,None,1,1.4987349000002723,307.5466007000068,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,2,None,k,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,main,None,None,1,1.5022569999855477,310.0462536000123,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,2,k,None,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,main,k,k,1,1.1490475999889895,312.5489569999918,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,1,None,k,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,main,None,None,1,1.498697800008813,314.69891879998613,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,2,k,None,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,main,k,k,1,0.7465717000013683,317.1987259000016,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,2,k,None,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,main,k,k,1,0.8520104000053834,318.9460493999941,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,2,k,None,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,main,k,k,1,0.7489809999824502,320.7987548999954,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,2,None,k,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,main,None,None,1,1.496625400002813,322.54877110000234,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,red,1,None,None,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,main,None,None,1,1.49931679997826,325.0462183000054,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,1,k,None,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,main,k,k,1,0.7508490000036545,327.5458712000109,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
