target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,positive,2,l,j,,,,,,,,,11,6,204,11,,,,,,,,,main,1,1,2,positive,positive,l,l,1,0.8486276000039652,560.9691348000197,561.9806742999936,561.9639994000318,None,560.9691348000197,None,560.9691348000197,None,560.9691348000197,None,562.814004930004,None,562.814004930004,None,562.814004930004,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,positive,2,k,k,,,,,,,,,11,7,205,13,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,1.098355400026776,562.8196279000258,563.8334545999533,563.8139633999672,None,562.8196279000258,None,562.8196279000258,None,562.8196279000258,None,564.9139583299751,None,564.9139583299751,None,564.9139583299751,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,positive,1,l,j,,,,,,,,,11,8,206,2,,,,,,,,,main,1,1,1,positive,positive,l,l,1,0.9816430000355467,564.9194699999643,565.9305788000347,565.9139262000099,None,564.9194699999643,None,564.9194699999643,None,564.9194699999643,None,566.8972462299629,None,566.8972462299629,None,566.8972462299629,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,negative,1,j,l,,,,,,,,,11,9,207,0,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.7981400000862777,566.9006029999582,567.9138950000051,567.8805608999683,None,566.9006029999582,None,566.9006029999582,None,566.9006029999582,None,568.6972202300443,None,568.6972202300443,None,568.6972202300443,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,positive,1,j,l,,,,,,,,,11,10,208,6,,,,,,,,,main,2,2,1,positive,negative,j,j,1,0.9152330000652,568.7012014000211,569.7139093999285,569.6971974000335,None,568.7012014000211,None,568.7012014000211,None,568.7012014000211,None,570.6138263299712,None,570.6138263299712,None,570.6138263299712,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,neutral,1,l,j,,,,,,,,,11,11,209,8,,,,,,,,,main,2,2,1,neutral,positive,l,l,1,0.7815444000298157,570.6192056,571.6304677999578,571.6138100000098,None,570.6192056,None,570.6192056,None,570.6192056,None,572.39710562994,None,572.39710562994,None,572.39710562994,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,negative,1,l,j,,,,,,,,,11,12,210,5,,,,,,,,,main,2,2,1,negative,positive,l,j,0,0.9319535000249743,572.4009191000368,573.4138519000262,573.3970985999331,None,572.4009191000368,None,572.4009191000368,None,572.4009191000368,None,574.3303923000349,None,574.3303923000349,None,574.3303923000349,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,neutral,2,k,k,,,,,,,,,11,13,211,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.8171149000991136,575.3361486999784,576.3470272999257,576.3333344999701,None,575.3361486999784,None,575.3361486999784,None,575.3361486999784,None,577.1469948300277,None,577.1469948300277,None,577.1469948300277,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,positive,1,k,k,,,,,,,,,11,14,212,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.8473784000379965,577.1510785999708,578.1636749999598,578.1499458999606,None,577.1510785999708,None,577.1510785999708,None,577.1510785999708,None,578.996978829999,None,578.996978829999,None,578.996978829999,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,neutral,1,k,k,,,,,,,,,11,15,213,1,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.7482285000151023,579.0001735999249,579.9969687999692,579.9833209000062,None,579.0001735999249,None,579.0001735999249,None,579.0001735999249,None,580.7469105299446,None,580.7469105299446,None,580.7469105299446,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,negative,1,k,k,,,,,,,,,11,16,214,7,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.5649157000007108,580.7501421000343,581.7635804000311,581.746927500004,None,580.7501421000343,None,580.7501421000343,None,580.7501421000343,None,582.3136399300187,None,582.3136399300187,None,582.3136399300187,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
