target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,mouse_2.clicked_name,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
neutral,neutral,1,k,k,,,,,,,,,10,9,189,1,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.6807787000143435,545.6520850999805,546.6590305999853,546.640201799979,None,545.6520850999805,None,545.6520850999805,None,545.6520850999805,None,547.3170555000019,None,547.3170555000019,None,547.3170555000019,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,negative,1,k,k,,,,,,,,,10,10,190,7,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.5975374999979977,547.3321230000001,548.3483286999981,548.3131416999968,None,547.3321230000001,None,547.3321230000001,None,547.3321230000001,None,548.9189299999911,None,548.9189299999911,None,548.9189299999911,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,negative,1,j,l,,,,,,,,,10,11,191,0,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.7645199999969918,548.9343434000039,549.9404683999892,549.9404683999892,None,548.9343434000039,None,548.9343434000039,None,548.9343434000039,None,550.6860471000022,None,550.6860471000022,None,550.6860471000022,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,positive,2,k,k,,,,,,,,,10,12,192,13,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,1.1672638999880292,550.7012907000026,551.7098949000065,551.6909064000065,None,550.7012907000026,None,550.7012907000026,None,550.7012907000026,None,552.8549659999902,None,552.8549659999902,None,552.8549659999902,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,neutral,2,l,j,,,,,,,,,10,13,193,17,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,positive,l,l,1,0.6929606999910902,552.8738250999886,553.8768143999914,553.8570734999957,None,552.8738250999886,None,552.8738250999886,None,552.8738250999886,None,554.548907499999,None,554.548907499999,None,554.548907499999,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,positive,1,j,l,,,,,,,,,10,14,194,6,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,j,j,1,0.6674319000157993,554.5645220000006,555.5788855999999,555.5433323000034,None,554.5645220000006,None,554.5645220000006,None,554.5645220000006,None,556.2203197999974,None,556.2203197999974,None,556.2203197999974,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,positive,2,l,j,,,,,,,,,10,15,195,11,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.6638567000045441,556.2369653999922,557.246094400005,557.2128242999897,None,556.2369653999922,None,556.2369653999922,None,556.2369653999922,None,557.8869008999958,None,557.8869008999958,None,557.8869008999958,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,positive,1,k,k,,,,,,,,,10,16,196,4,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.7465625999902841,557.9020173999888,558.9207864000055,558.8958745999844,None,557.9020173999888,None,557.9020173999888,None,557.9020173999888,None,559.6338435999991,None,559.6338435999991,None,559.6338435999991,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,positive,1,l,j,,,,,,,,,10,17,197,2,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,positive,l,l,1,0.6870264000026509,559.6493952999881,560.6603907999815,560.6409828999895,None,559.6493952999881,None,559.6493952999881,None,559.6493952999881,None,561.3238612999907,None,561.3238612999907,None,561.3238612999907,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,positive,1,l,j,,,,,,,,,11,0,198,2,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,l,l,1,0.7308400000038091,561.3413879,562.3467875999922,562.312506599992,None,561.3413879,None,561.3413879,None,561.3413879,None,563.0566215999773,None,563.0566215999773,None,563.0566215999773,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,negative,2,j,l,,,,,,,,,11,1,199,9,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,j,j,1,0.7259470999997575,563.0768188999791,564.0959106999799,564.0574783000047,None,563.0768188999791,None,563.0768188999791,None,563.0768188999791,None,564.7830267000012,None,564.7830267000012,None,564.7830267000012,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,positive,1,k,k,,,,,,,,,11,2,200,4,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,k,j,0,-0.6564551000192296,564.8063893999788,None,None,None,564.8063893999788,None,564.8063893999788,None,564.8063893999788,None,565.1452029999928,None,565.1452029999928,None,565.1452029999928,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,neutral,2,k,k,,,,,,,,,11,3,201,10,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.7085303000058047,568.1647797999904,569.1794400999788,569.1609909999825,None,568.1647797999904,None,568.1647797999904,None,568.1647797999904,None,569.8584794999973,None,569.8584794999973,None,569.8584794999973,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
