target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
neutral,negative,2,k,k,,,,,,,,,3,8,62,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.7815193999558687,285.7283386000199,286.7393651000457,286.7228089000564,None,285.7283386000199,None,285.7283386000199,None,285.7283386000199,None,287.5059191699955,None,287.5059191699955,None,287.5059191699955,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,positive,2,k,k,,,,,,,,,3,9,63,13,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.7151481999317184,287.51151009998284,288.52552510006353,288.50597930001095,None,287.51151009998284,None,287.51151009998284,None,287.51151009998284,None,289.22257127008635,None,289.22257127008635,None,289.22257127008635,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,neutral,2,j,l,,,,,,,,,3,10,64,12,,,,,,,,,main,1,1,2,neutral,negative,j,j,1,1.5149332999717444,289.2260203000624,290.2392640999751,290.222624200047,None,289.2260203000624,None,289.2260203000624,None,289.2260203000624,None,291.73938739998266,None,291.73938739998266,None,291.73938739998266,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,negative,1,j,l,,,,,,,,,3,11,65,0,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.8539325000019744,292.74036050005816,293.7560050999746,293.72254770004656,None,292.74036050005816,None,292.74036050005816,None,292.74036050005816,None,294.58913446998923,None,294.58913446998923,None,294.58913446998923,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,neutral,1,l,j,,,,,,,,,3,12,66,8,,,,,,,,,main,1,1,1,neutral,positive,l,l,1,0.7972006000345573,294.595934699988,295.6058486000402,295.5891753999749,None,294.595934699988,None,294.595934699988,None,294.595934699988,None,296.38909676998156,None,296.38909676998156,None,296.38909676998156,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,negative,2,l,j,,,,,,,,,3,13,67,14,,,,,,,,,main,2,2,2,negative,positive,l,l,1,0.6815761000616476,296.392555700033,297.4057791000232,297.3919960000785,None,296.392555700033,None,296.392555700033,None,296.392555700033,None,298.07235967008165,None,298.07235967008165,None,298.07235967008165,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,positive,2,j,l,,,,,,,,,3,14,68,15,,,,,,,,,main,1,1,2,positive,negative,j,j,1,0.8816641999874264,298.07573270006105,299.08910390001256,299.07240910001565,None,298.07573270006105,None,298.07573270006105,None,298.07573270006105,None,299.955668070016,None,299.955668070016,None,299.955668070016,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,negative,1,k,k,,,,,,,,,3,15,69,7,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.765086599974893,299.95876249996945,300.9724306999706,300.9557198000839,None,299.95876249996945,None,299.95876249996945,None,299.95876249996945,None,301.72232367006364,None,301.72232367006364,None,301.72232367006364,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,positive,1,j,l,,,,,,,,,3,16,70,6,,,,,,,,,main,1,1,1,positive,negative,j,j,1,0.7828132000286132,301.7267767000012,302.7390337000834,302.7223611000227,None,301.7267767000012,None,301.7267767000012,None,301.7267767000012,None,303.50560747006676,None,303.50560747006676,None,303.50560747006676,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,positive,1,l,j,,,,,,,,,3,17,71,2,,,,,,,,,main,2,2,1,positive,positive,l,l,1,0.7646777000045404,303.5119191000704,304.5223017000826,304.5085931000067,None,303.5119191000704,None,303.5119191000704,None,303.5119191000704,None,305.27240787005286,None,305.27240787005286,None,305.27240787005286,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
