target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,neutral,1,l,j,,,,,,,,,6,9,117,8,,,,,,,,,main,1,1,1,neutral,positive,j,j,1,0.8820479999994859,401.23120130004827,402.2308995000203,402.2142084000516,None,401.23120130004827,None,401.23120130004827,None,401.23120130004827,None,403.1118112099997,None,403.1118112099997,None,403.1118112099997,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,neutral,2,l,j,,,,,,,,,6,10,118,17,,,,,,,,,main,2,2,2,neutral,positive,j,j,1,0.6983728000195697,403.1177577000344,404.1307836000342,404.1141371000558,None,403.1177577000344,None,403.1177577000344,None,403.1177577000344,None,404.81174341001895,None,404.81174341001895,None,404.81174341001895,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,positive,1,l,j,,,,,,,,,6,11,119,2,,,,,,,,,main,1,1,1,positive,positive,j,j,1,0.6981990999775007,404.8152288000565,405.8306207000278,405.814110300038,None,404.8152288000565,None,404.8152288000565,None,404.8152288000565,None,406.5117302100465,None,406.5117302100465,None,406.5117302100465,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,neutral,2,j,l,,,,,,,,,6,12,120,12,,,,,,,,,main,1,1,2,neutral,negative,l,l,1,0.7309607000206597,406.5285626000259,407.5306017000112,407.514111000055,None,406.5285626000259,None,406.5285626000259,None,406.5285626000259,None,408.24502181000423,None,408.24502181000423,None,408.24502181000423,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,negative,1,k,k,,,,,,,,,6,13,121,7,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.7804751999792643,408.24913860001834,409.2613702000235,409.24481910001487,None,408.24913860001834,None,408.24913860001834,None,408.24913860001834,None,410.0279730100359,None,410.0279730100359,None,410.0279730100359,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,positive,1,j,l,,,,,,,,,6,14,122,6,,,,,,,,,main,2,2,1,positive,negative,l,j,0,1.06515420001233,410.02804450003896,411.0280255000107,411.0280255000107,None,410.02804450003896,None,410.02804450003896,None,410.02804450003896,None,412.0947265000432,None,412.0947265000432,None,412.0947265000432,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,neutral,1,k,k,,,,,,,,,6,15,123,1,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,1.234363800031133,413.0950874000555,414.0972066000104,414.0806737000239,None,413.0950874000555,None,413.0950874000555,None,413.0950874000555,None,415.32821571000966,None,415.32821571000966,None,415.32821571000966,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,positive,1,k,k,,,,,,,,,6,16,124,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.7313195999595337,415.3320757000474,416.34721160004847,416.3305865000002,None,415.3320757000474,None,415.3320757000474,None,415.3320757000474,None,417.06148471002814,None,417.06148471002814,None,417.06148471002814,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,positive,2,l,j,,,,,,,,,6,17,125,11,,,,,,,,,main,1,1,2,positive,positive,j,j,1,0.8815704999724403,417.06490340002347,418.0805113000097,418.0615583000472,None,417.06490340002347,None,417.06490340002347,None,417.06490340002347,None,418.94476571004486,None,418.94476571004486,None,418.94476571004486,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,neutral,2,l,j,,,,,,,,,7,0,126,17,,,,,,,,,main,1,1,2,neutral,positive,j,j,1,0.7138607999659143,418.9508449000423,419.9611430000514,419.9444688000367,None,418.9508449000423,None,418.9508449000423,None,418.9508449000423,None,420.66107261001014,None,420.66107261001014,None,420.66107261001014,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
