target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,negative,2,l,j,,,,,,,,,2,12,48,14,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,l,l,1,1.0234161999833304,283.42774479999207,284.5053190999897,284.40844440000365,None,283.42774479999207,None,283.42774479999207,None,283.42774479999207,None,285.40242122999047,None,285.40242122999047,None,285.40242122999047,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,1,l,j,,,,,,,,,2,13,49,5,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,l,l,1,1.3084529000043403,285.47384749999037,286.55101039999863,286.50148440001067,None,285.47384749999037,None,285.47384749999037,None,285.47384749999037,None,287.72131131999197,None,287.72131131999197,None,287.72131131999197,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,2,l,j,,,,,,,,,2,14,50,17,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,positive,l,l,1,0.9813024000031874,287.7560414999898,288.7937430999882,288.74591219998547,None,287.7560414999898,None,287.7560414999898,None,287.7560414999898,None,289.70988623001034,None,289.70988623001034,None,289.70988623001034,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,1,k,k,,,,,,,,,2,15,51,7,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.821820100012701,289.77840720000677,290.841271399986,290.792366699985,None,289.77840720000677,None,289.77840720000677,None,289.77840720000677,None,291.53876743000586,None,291.53876743000586,None,291.53876743000586,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,2,j,l,,,,,,,,,2,16,52,12,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,negative,j,j,1,0.9949180999828968,291.6154460000107,292.64568320001126,292.5992671000131,None,291.6154460000107,None,291.6154460000107,None,291.6154460000107,None,293.53894632000595,None,293.53894632000595,None,293.53894632000595,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,2,j,l,,,,,,,,,2,17,53,15,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.7974443999992218,293.61584819998825,294.65973439998925,294.61101220001,None,293.61584819998825,None,293.61584819998825,None,293.61584819998825,None,295.35657363001377,None,295.35657363001377,None,295.35657363001377,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,1,l,j,,,,,,,,,3,0,54,5,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,positive,l,l,1,0.9838609000144061,295.43081329998677,296.4893286000006,296.4414582999889,None,295.43081329998677,None,295.43081329998677,None,295.43081329998677,None,297.35167192000665,None,297.35167192000665,None,297.35167192000665,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,1,j,l,,,,,,,,,3,1,55,3,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,1.0300684999965597,297.3776724000054,298.4236576000112,298.37637600000016,None,297.3776724000054,None,297.3776724000054,None,297.3776724000054,None,299.38725192000277,None,299.38725192000277,None,299.38725192000277,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,2,j,l,,,,,,,,,3,2,56,12,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,j,j,1,1.037167300004512,299.4234538000019,300.4808467999974,300.4301731000014,None,299.4234538000019,None,299.4234538000019,None,299.4234538000019,None,301.43181472000435,None,301.43181472000435,None,301.43181472000435,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,1,j,l,,,,,,,,,3,3,57,6,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,j,j,1,0.8494955000060145,301.454410300008,302.50848429999314,302.45494970001164,None,301.454410300008,None,301.454410300008,None,301.454410300008,None,303.28744782000433,None,303.28744782000433,None,303.28744782000433,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,1,j,l,,,,,,,,,3,4,58,0,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.7097007000120357,303.3128791000054,304.3575421999849,304.30891079999856,None,303.3128791000054,None,303.3128791000054,None,303.3128791000054,None,305.0037375300075,None,305.0037375300075,None,305.0037375300075,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,1,k,k,,,,,,,,,3,5,59,4,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,1.0111815000127535,305.06183859999874,306.10224949999247,306.0530116999871,None,305.06183859999874,None,305.06183859999874,None,305.06183859999874,None,307.01516442000286,None,307.01516442000286,None,307.01516442000286,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,2,l,j,,,,,,,,,3,6,60,11,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.7666205000132322,307.06933100000606,308.120785600011,308.0718898999912,None,307.06933100000606,None,307.06933100000606,None,307.06933100000606,None,308.79587711998613,None,308.79587711998613,None,308.79587711998613,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,1,l,j,,,,,,,,,3,7,61,2,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,positive,l,l,1,1.603858799993759,308.8311240999901,309.8811561999901,309.83260570000857,None,308.8311240999901,None,308.8311240999901,None,308.8311240999901,None,311.4246518999862,None,311.4246518999862,None,311.4246518999862,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,2,k,k,,,,,,,,,3,8,62,10,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.799216899991734,312.4949016000028,313.5453675999888,313.50031939998735,None,312.4949016000028,None,312.4949016000028,None,312.4949016000028,None,314.2343647199974,None,314.2343647199974,None,314.2343647199974,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,2,l,j,,,,,,,,,3,9,63,14,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,positive,l,l,1,0.8700611999956891,314.2659042000014,315.31201580000925,315.27929679999943,None,314.2659042000014,None,314.2659042000014,None,314.2659042000014,None,316.10761431999856,None,316.10761431999856,None,316.10761431999856,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,2,k,k,,,,,,,,,3,10,64,13,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.8180123000056483,316.15728499999386,317.2346663000062,317.1800229999935,None,316.15728499999386,None,316.15728499999386,None,316.15728499999386,None,317.92840283000845,None,317.92840283000845,None,317.92840283000845,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,2,j,l,,,,,,,,,3,11,65,9,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,j,j,1,0.9842979999957606,317.99954660001094,319.0723108999955,318.97753340000054,None,317.99954660001094,None,317.99954660001094,None,317.99954660001094,None,319.9273150199966,None,319.9273150199966,None,319.9273150199966,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,,,,,3,12,66,8,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,positive,l,l,1,0.8940087999799289,319.9935007999884,321.0386748999881,320.9851320000016,None,319.9935007999884,None,319.9935007999884,None,319.9935007999884,None,321.8331728200079,None,321.8331728200079,None,321.8331728200079,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,2,k,k,,,,,,,,,3,13,67,16,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.7793167000054382,321.8647970999882,322.9097303999879,322.86254060000647,None,321.8647970999882,None,321.8647970999882,None,321.8647970999882,None,323.61562471999207,None,323.61562471999207,None,323.61562471999207,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
